Name,Overall,Potential,InternationalReputation,Skill,WorkRate,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,ShotPower,Stamina,Strength,LongShots,Aggression,Interceptions,Penalties,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Position
Luisinho,66,70,1,3,99,42,69,71,63,61,64,45,41,66,52,46,40,69,54,78,62,36,14,67,26,22,7,12,10,12,11,1
D. Ndlovu,68,70,1,3,99,64,58,45,69,48,66,64,66,71,68,51,75,71,82,73,67,65,63,63,55,58,7,12,14,8,7,2
Bruno Gallo,67,70,1,3,99,65,60,52,61,54,74,61,63,63,84,81,82,62,69,38,63,57,46,58,41,32,10,10,10,11,7,2
D. Böde,68,70,1,3,66,61,25,70,63,24,63,54,54,64,75,76,70,30,67,66,31,71,68,47,69,66,7,13,9,11,13,3
J. Taravel,70,70,1,2,66,36,21,70,53,41,35,37,40,52,55,67,49,58,71,75,49,69,69,24,73,66,13,15,6,8,5,3
Felipe,70,70,1,2,66,39,18,82,50,27,16,22,42,44,50,50,51,57,70,88,45,74,64,44,70,66,16,13,8,15,10,3
I. Hajrovi?,70,70,1,2,66,24,25,74,45,40,37,30,47,50,36,42,30,68,70,90,24,61,75,40,74,63,8,9,9,14,15,3
T. Kempe,70,70,1,2,66,46,24,63,54,31,48,48,60,52,66,73,57,56,67,79,31,83,62,39,72,73,12,10,15,6,10,3
V. Giraldo,70,70,1,2,66,26,30,68,50,38,39,62,34,54,49,53,44,77,68,86,62,63,77,77,73,69,12,12,8,6,10,3
A. Wooten,70,70,1,2,66,32,20,74,60,26,29,24,45,54,29,42,32,62,66,90,25,69,66,36,70,68,10,13,15,10,8,3
A. Bastía,70,70,1,3,99,76,60,36,66,54,66,77,72,73,74,67,83,74,67,31,73,76,52,61,46,45,15,7,11,10,9,2
S. Allagui,70,70,1,3,99,57,59,32,74,57,71,61,69,72,66,71,59,67,71,37,69,38,34,69,41,27,6,13,7,10,11,2
A. Fathi,69,70,1,3,99,70,64,40,61,64,70,74,56,70,79,72,91,70,68,31,67,55,38,65,44,32,16,8,6,13,15,2
I. Sylla,69,70,1,4,99,66,61,58,63,46,71,61,57,69,75,75,78,58,71,59,49,59,32,44,15,21,12,16,15,16,11,2
A. Tziolis,68,70,1,3,99,59,65,70,64,53,68,50,55,70,82,80,83,71,73,67,68,48,16,75,13,17,10,12,13,7,9,2
T. Sparv,67,70,1,2,99,59,63,53,64,29,62,53,66,65,75,73,81,63,78,64,58,68,67,50,69,66,11,7,13,7,8,2
M. Jurman,70,70,1,3,99,70,31,51,73,42,72,71,72,73,75,66,77,67,67,66,52,59,73,62,76,75,8,11,13,13,13,2
J. Ramaré,70,70,1,3,99,68,56,65,71,35,66,63,71,70,73,76,68,64,84,73,59,68,55,54,70,68,14,7,12,10,13,3
Nuno André Coelho,70,70,1,2,99,42,22,76,60,27,37,23,49,54,61,63,59,62,64,76,28,65,68,43,75,67,12,8,8,7,13,3
E. Ambrose,69,70,1,3,99,56,69,72,65,62,71,53,44,70,68,67,70,63,66,72,58,49,26,58,18,16,11,14,13,15,6,2
Eltson Marques,70,70,1,3,99,68,66,46,73,69,67,81,69,71,64,53,72,75,68,58,72,58,58,80,53,50,14,9,12,12,9,2
Eloi Amagat,69,70,1,3,99,68,38,60,68,39,67,52,60,68,68,83,70,59,83,60,40,64,60,45,65,67,9,9,12,11,7,3
M. Ordóñez,70,70,1,3,99,69,49,55,69,60,68,72,71,67,71,73,69,67,78,67,58,72,67,56,69,67,7,15,7,10,15,3
K. Mokotjo,70,70,1,3,99,58,54,59,71,57,59,33,73,65,69,41,70,68,82,78,69,80,66,39,65,59,15,16,6,13,10,2
Álvaro Peña,70,70,2,2,99,47,73,74,65,72,59,66,45,65,46,59,63,70,48,85,61,80,20,71,30,22,4,4,4,4,4,1
V. F?nd?kl?,70,70,1,2,99,72,29,62,68,42,66,68,67,69,47,46,64,64,69,72,65,71,70,63,66,70,12,9,11,15,7,3
S. Taniguchi,70,70,1,2,99,62,54,70,72,60,59,63,73,69,38,42,58,66,56,80,65,77,66,49,66,67,6,12,10,11,15,2
P. Filipovi?,70,70,1,2,99,70,64,58,73,55,59,67,66,72,53,54,64,72,69,72,70,77,65,82,69,65,16,8,6,6,8,2
J. Gyau,70,70,1,1,99,11,9,13,32,10,18,18,21,27,33,34,44,22,29,61,7,21,22,20,17,12,65,64,61,70,77,4
A. Vellios,68,70,1,2,99,61,46,66,69,43,55,39,61,62,72,71,67,44,56,70,42,62,69,41,69,74,13,6,12,12,12,3
S. Papagiannopoulos,70,70,1,3,99,76,50,63,66,59,69,73,64,67,69,69,67,73,73,69,64,87,67,58,70,69,10,9,8,15,13,3
S. Dursun,68,70,1,2,99,47,22,70,57,26,48,37,53,59,42,36,46,40,38,75,21,67,69,41,69,67,11,11,12,7,8,3
M. van Duinen,69,70,1,3,99,56,70,65,58,72,67,45,45,66,54,68,54,71,65,85,68,65,48,73,38,36,11,9,14,8,14,1
D. Bomheuer,70,70,1,2,99,45,27,68,68,40,56,32,62,67,73,74,68,65,71,76,22,70,68,41,68,67,15,14,9,12,11,3
K. Rowe,70,70,1,2,99,30,21,73,66,19,32,25,52,48,53,60,38,52,61,92,27,71,65,32,71,67,13,10,12,10,15,3
Y. Komai,67,70,1,3,99,64,57,30,62,56,67,50,55,66,79,78,84,58,77,63,52,42,20,55,25,24,13,8,7,8,15,2
C. Techera,69,70,1,3,99,73,63,52,70,50,70,75,66,68,64,66,69,79,71,60,75,62,63,64,65,60,9,16,15,11,13,2
Marco Sangalli,70,70,1,3,99,64,63,59,70,59,65,69,60,68,68,73,66,72,79,71,57,73,69,52,71,71,15,6,14,9,12,3
Jang Hyeon Soo,69,70,1,3,99,63,65,64,66,63,64,49,60,67,77,78,66,67,85,72,63,65,40,68,43,41,8,10,7,11,12,1
J. Cabrera,70,70,1,3,66,62,68,62,72,71,71,66,66,69,72,80,90,71,69,48,67,67,36,67,52,32,6,13,13,16,16,1
Iván Sánchez,70,70,1,2,66,39,39,64,63,39,53,60,69,52,70,71,67,53,72,80,51,69,70,35,68,67,13,15,9,16,11,3
G. Åsen,69,70,1,3,66,70,55,57,69,57,62,58,64,66,69,77,74,78,90,62,63,71,68,60,62,65,15,12,9,13,10,3
T. Juri?,70,70,1,3,66,53,48,55,73,57,64,49,66,68,64,65,71,65,79,72,55,80,70,48,69,61,8,9,7,15,9,2
L. Bittante,70,70,1,2,66,47,47,67,69,47,65,53,69,59,49,47,54,68,74,77,63,69,77,58,71,64,13,16,9,16,12,2
M. Sax,70,70,1,2,66,66,26,62,64,56,58,66,63,67,66,69,65,60,73,71,58,71,73,68,70,69,8,14,15,14,7,3
F. Píriz,69,70,1,2,66,63,33,55,64,43,52,49,64,64,60,57,58,54,76,83,53,81,66,56,67,66,15,9,12,14,8,2
Fernando Karanga,70,70,1,2,66,28,18,72,51,17,33,28,34,46,36,34,37,33,39,88,11,76,64,35,73,69,16,10,10,9,14,3
B. Mkhwanazi,69,70,1,3,99,68,61,40,63,47,72,72,49,71,91,87,81,49,77,34,55,56,17,65,22,24,14,8,12,9,8,2
T. Antonis,69,70,1,3,99,57,51,60,64,38,66,57,68,70,74,77,72,70,78,65,60,72,64,56,73,67,7,7,7,11,13,3
Rafael Costa,69,70,1,3,99,68,57,37,69,63,69,59,65,70,74,73,81,66,62,62,57,50,32,58,27,25,7,8,7,8,12,2
G. Zigoni,70,70,1,3,99,74,59,57,74,52,73,72,72,72,71,72,73,69,66,64,58,87,67,61,67,72,7,13,7,15,6,3
Chuli,70,70,1,3,99,56,15,59,57,14,64,32,58,66,73,58,60,25,84,65,15,63,75,46,74,71,7,8,15,9,11,3
J. Czerwi?ski,70,70,1,3,99,77,62,52,70,60,65,78,74,72,55,53,66,79,64,67,73,53,49,65,62,40,8,8,7,9,6,2
E. Jeleni?,69,70,1,3,99,71,43,62,66,35,64,61,60,66,74,67,71,62,81,67,43,65,65,49,72,66,9,13,8,8,6,3
Luís Martins,69,70,2,3,99,69,53,58,70,31,69,50,64,66,73,68,73,66,67,66,50,79,66,58,70,69,7,7,14,14,8,2
D. Hernández,70,70,1,2,99,64,56,62,63,33,62,42,58,66,85,86,78,59,88,66,46,73,65,37,66,65,13,15,11,10,13,3
Arthur Caike,70,70,1,3,99,54,43,60,78,44,67,65,74,72,54,62,60,69,72,77,68,63,64,38,66,61,9,7,6,7,11,2
V. Klonaridis,69,70,1,3,99,65,54,54,68,58,69,67,64,69,76,86,93,68,75,71,60,43,49,60,47,48,8,13,10,5,9,2
A. Farrell,67,70,1,3,99,66,59,44,67,52,71,59,59,66,78,82,62,64,64,63,58,50,26,64,29,28,7,7,6,7,15,2
G. Bruno,69,70,1,3,99,62,66,59,62,51,73,53,39,68,79,84,79,75,83,72,63,65,21,67,21,22,8,10,14,9,9,2
Wellington,70,70,1,2,99,68,42,59,69,48,61,67,52,66,71,67,73,47,79,71,54,66,66,51,71,72,11,13,13,15,9,3
B. Dja Djédjé,70,70,1,3,99,61,74,72,69,59,66,68,64,71,53,52,73,72,72,75,61,29,18,62,35,22,9,10,14,6,10,1
Y. Stark,70,70,1,2,99,71,35,63,61,53,62,34,62,55,74,73,71,62,86,73,46,74,73,61,65,66,7,12,9,14,11,3
M. Zeffane,70,70,1,2,99,70,58,66,65,43,63,64,55,61,73,69,72,73,81,69,65,76,65,68,68,68,16,16,10,7,8,3
Jo Sung Jin,69,70,1,3,99,40,70,72,59,63,67,48,35,69,63,69,63,71,65,82,53,48,30,64,42,34,7,7,14,7,7,1
R. Lenis,70,70,1,2,99,48,41,65,68,37,61,45,69,65,53,53,58,52,81,69,34,71,70,37,70,72,10,6,11,7,13,3
Y. de Lanlay,70,70,1,3,99,58,72,75,67,69,67,54,55,70,49,50,63,70,50,77,66,52,23,61,29,23,12,8,8,12,10,1
J. Pérez,69,70,1,3,99,54,73,69,64,60,63,54,53,68,69,70,62,67,76,84,58,58,33,68,35,34,13,13,9,13,12,1
D. Texeira,70,70,1,2,99,59,47,70,72,38,58,62,70,69,45,52,55,70,82,78,64,82,73,42,71,68,7,9,12,15,14,2
P. Hoban,70,70,1,1,99,18,17,12,13,15,16,12,13,18,55,50,56,22,43,68,14,37,17,23,11,12,71,65,67,68,75,4
S. Willems,70,70,1,3,66,48,45,51,68,37,65,45,65,67,73,69,83,63,84,66,53,80,70,57,67,62,12,15,9,16,10,2
J. Blanco,70,70,1,2,66,66,30,71,62,53,56,45,61,60,80,84,77,55,73,75,40,90,72,36,68,65,11,13,11,16,6,3
J. George,70,70,1,2,66,51,30,44,70,30,43,60,64,66,64,62,69,64,77,80,34,73,72,53,71,69,8,7,14,13,15,2
O. Barreto,70,70,1,2,66,32,28,77,70,25,24,53,70,60,31,30,31,28,64,82,24,61,74,42,72,59,9,8,10,16,15,3
C. McLaughlin,70,70,1,3,66,66,55,65,72,59,64,58,70,69,42,48,51,77,63,77,69,68,73,57,69,62,16,11,12,7,15,2
V. Hedenstad,69,70,1,2,66,61,56,68,65,44,57,46,61,60,64,74,71,51,72,78,50,62,67,45,70,68,13,15,12,6,11,3
Z. Yavru,69,70,1,2,66,52,34,60,74,31,70,37,65,72,34,37,42,65,62,82,36,75,70,56,66,64,10,8,8,8,7,2
L. Thomas,67,70,1,3,99,34,70,54,69,49,72,41,62,71,67,71,56,65,68,46,64,21,19,68,14,18,5,6,14,11,12,1
A. Sadiku,67,70,1,3,99,64,57,43,68,52,64,62,67,68,67,68,76,64,34,61,57,46,37,60,37,36,6,7,13,14,7,2
Negueba,69,70,1,3,99,60,67,41,68,55,75,61,46,71,74,80,80,58,70,64,52,42,48,72,55,42,15,7,9,7,12,2
S. Thesker,70,70,1,3,99,66,69,57,72,62,69,70,67,72,75,69,70,66,75,67,69,57,63,66,49,44,8,13,13,7,11,2
T. Beermann,69,70,1,3,99,61,52,53,77,42,69,70,76,72,68,62,74,46,62,62,56,54,53,65,54,49,9,14,13,10,14,2
T. Weilandt,70,70,1,3,99,72,65,35,69,64,71,85,67,73,72,74,78,69,76,73,73,68,51,61,55,44,9,16,6,16,7,2
E. Salli,70,70,1,3,99,64,56,73,69,53,66,59,65,70,74,74,72,65,82,69,54,70,63,43,70,67,13,9,7,8,12,3
Auremir,70,70,1,3,99,72,59,47,70,72,64,54,70,66,70,66,81,75,84,69,68,70,69,51,61,51,9,10,16,15,8,2
F. Schleusener,70,70,1,3,99,59,64,45,73,49,65,80,72,68,63,55,69,76,70,61,70,70,62,68,59,54,9,12,8,11,8,2
D. Davis,70,70,1,3,99,50,54,57,73,67,64,50,76,73,48,37,65,72,74,76,74,62,69,62,70,69,12,8,12,16,16,2
Héctor,70,70,2,3,99,69,68,61,73,70,70,74,75,75,54,42,70,78,45,68,71,76,61,59,62,59,13,10,6,10,9,2
J. Laso,70,70,1,3,99,81,65,43,74,57,70,82,80,73,65,53,69,72,34,52,77,42,56,70,65,52,12,9,14,11,8,2
J. Grahl,70,70,2,2,99,34,24,71,54,28,28,47,56,46,63,67,55,64,66,83,33,75,63,33,70,68,10,9,11,8,6,3
Tomeu Nadal,70,70,1,3,99,67,63,39,75,57,64,74,73,72,73,62,61,62,65,61,66,49,49,65,58,45,8,15,9,15,7,2
A. Kovácsik,69,70,1,3,99,63,63,49,68,56,76,66,51,74,75,74,74,68,62,63,59,33,38,52,41,30,8,11,10,7,12,2
A. Sjöberg,67,70,1,3,99,62,53,59,70,56,65,64,68,68,65,67,64,73,65,68,64,66,63,68,64,57,6,6,14,9,10,2
M. Fernández,69,70,1,4,99,62,58,40,63,57,73,63,52,67,91,91,86,63,78,63,58,54,25,51,31,34,12,6,15,15,6,2
F. Starzy?ski,69,70,1,3,99,62,74,72,66,64,67,64,62,70,76,76,73,75,75,70,72,58,26,67,19,18,6,13,10,7,13,2
B. Bodin,70,70,1,3,99,64,56,62,67,53,66,52,63,66,77,80,80,64,82,70,61,71,63,60,66,66,10,16,7,13,14,3
A. Vuletich,70,70,1,2,99,70,62,51,72,65,64,69,74,70,53,53,70,70,70,73,69,74,69,57,64,57,7,6,14,10,15,2
J. Obiang,70,70,1,1,99,15,13,16,27,11,11,11,30,14,55,43,62,12,30,68,13,26,25,15,12,13,70,69,70,69,70,4
A. O'Connor,69,70,1,3,99,64,40,60,62,58,65,65,60,65,79,81,71,70,79,68,60,62,64,43,70,63,8,11,13,7,9,3
Cristiano,69,70,1,3,99,48,65,72,59,60,68,45,55,66,64,68,55,72,69,85,60,74,34,65,28,24,9,11,7,14,15,1
T. Mr?ela,69,70,1,3,99,48,71,73,59,63,64,57,44,64,61,59,61,69,59,79,58,68,17,67,31,19,8,6,10,13,14,1
K. Londoño,70,70,1,2,99,63,38,67,66,25,58,48,61,66,62,63,63,44,62,75,33,67,71,37,68,66,13,7,12,10,11,3
I. Rivero,70,70,1,2,99,32,22,74,63,34,48,49,58,54,42,44,60,61,64,86,35,78,69,49,66,62,6,12,7,6,14,3
R. Benatelli,70,70,1,2,99,51,34,71,69,33,50,65,66,65,30,32,42,77,67,78,68,80,71,42,69,67,9,9,11,14,13,3
Macedo,70,70,1,2,99,57,25,70,60,35,40,24,40,58,49,63,58,43,76,91,27,58,70,34,70,68,15,13,14,10,9,3
A. To?ca,70,70,1,2,99,58,70,79,57,64,62,62,57,61,53,50,50,76,35,86,74,66,23,69,50,31,9,11,8,12,10,1
Y. Thoelen,70,70,1,3,66,64,37,54,69,41,72,56,61,69,66,60,64,52,78,67,34,70,68,62,71,71,12,11,6,15,11,3
L. Payares,70,70,1,2,66,58,39,65,68,38,58,59,61,62,62,63,59,57,81,81,49,80,72,45,72,70,16,7,12,16,9,2
U. Bech,70,70,1,2,66,33,30,73,57,29,46,30,51,60,44,48,41,41,83,79,25,79,66,35,65,64,9,15,13,6,15,3
A. Asiri,69,70,1,3,99,73,51,49,71,59,66,72,70,70,70,70,71,80,64,56,67,69,70,46,72,71,10,13,12,11,10,3
F. Al Qarni,70,70,1,3,99,66,67,48,65,65,70,66,46,69,82,87,92,65,90,62,62,56,38,57,29,22,8,11,12,13,9,1
M. Djuricin,67,70,1,3,99,67,46,48,61,52,66,74,58,70,85,84,83,74,65,46,69,71,61,40,61,62,6,13,12,10,11,2
D. Novoa,69,70,1,3,99,62,65,57,67,70,72,71,61,72,79,81,77,71,77,64,64,55,41,64,36,46,13,14,11,10,7,1
K. Drygas,70,70,1,2,99,67,27,60,64,53,62,63,60,64,76,77,69,64,83,63,59,71,64,60,67,67,12,14,6,7,12,3
A. Vilches,70,70,1,3,99,70,58,58,68,24,67,65,58,68,79,73,71,68,71,68,59,59,74,44,73,69,10,11,16,9,15,2
C. Martinez,70,70,1,2,99,52,51,49,70,46,60,42,75,65,55,59,53,71,77,66,59,80,65,64,71,66,7,14,13,15,9,2
B. Girth,70,70,1,3,99,67,66,60,59,69,72,68,54,68,84,88,82,71,73,59,60,56,23,60,28,19,14,14,9,9,11,1
E. Olivera,70,70,1,2,99,52,52,57,74,40,62,49,69,74,52,48,62,58,83,69,39,66,73,58,69,64,9,7,11,13,9,2
R. Ligeon,70,70,1,3,99,66,59,58,70,64,65,72,68,67,75,70,73,63,83,66,61,64,62,72,58,55,12,15,10,13,13,2
M. Hornschuh,70,70,1,3,99,67,64,34,64,63,71,67,56,73,76,74,80,69,72,58,69,40,37,66,44,40,10,8,9,12,10,2
M. Fenger,70,70,1,3,99,59,71,73,70,65,65,65,63,71,74,76,72,69,66,69,68,48,52,62,48,46,11,16,6,7,15,2
V. Sasso,70,70,1,3,99,65,59,57,63,37,70,64,56,67,82,83,83,76,77,64,72,80,65,47,68,70,6,16,11,7,10,3
R. Boateng,70,70,1,2,99,70,33,64,70,30,57,51,62,64,71,71,73,30,82,71,30,71,63,56,74,67,9,7,10,16,7,3
A. Pérez,70,70,1,3,99,67,61,56,70,68,68,75,65,72,76,72,77,75,74,71,68,46,43,69,40,38,12,10,14,6,13,2
J. Cifuente,70,70,1,1,99,11,7,7,18,6,7,11,15,8,52,58,66,14,34,58,6,35,11,14,10,11,64,68,69,68,75,4
A. Castro,70,70,1,3,99,49,35,59,70,45,65,42,69,71,54,65,62,66,87,74,55,69,73,50,66,58,10,10,6,11,14,2
A. Geipl,70,70,1,2,99,58,45,70,67,41,49,45,62,61,67,69,61,66,65,79,48,77,65,53,67,69,5,12,11,10,12,3
F. Kalig,70,70,1,2,99,45,46,68,70,37,62,39,59,62,57,69,46,68,83,76,69,79,71,44,71,65,9,8,9,9,12,2
S. Xulu,70,70,1,1,99,11,16,14,48,15,15,12,33,24,59,60,42,32,31,67,12,29,16,43,11,20,67,69,69,69,69,4
D. Mitov Nilsson,70,70,1,2,99,58,29,67,62,38,55,45,57,61,66,68,66,61,70,74,50,71,70,30,70,69,10,14,6,11,8,3
Wu Xinghan,70,70,1,2,66,42,13,70,49,23,40,31,54,46,35,52,59,27,78,84,36,75,67,32,70,69,7,6,7,7,8,3
Liu Binbin,70,70,2,2,66,61,49,66,67,58,61,57,69,67,53,53,64,71,69,73,56,90,67,64,70,74,11,9,15,14,15,2
H. Rodríguez,70,70,1,3,66,66,50,57,72,62,65,60,69,68,71,66,70,70,83,69,63,74,72,53,69,64,13,8,12,10,12,2
A. Jeremejeff,70,70,1,2,66,43,34,68,58,29,44,37,51,54,59,70,59,62,62,75,59,73,70,31,74,69,13,13,13,10,11,3
Kim Seung Gyu,69,70,1,3,66,67,63,64,67,54,67,59,67,68,76,76,70,74,84,82,69,86,70,47,70,72,8,7,7,10,8,2
P. Hanlon,70,70,1,3,99,62,70,63,70,54,72,57,66,72,79,81,73,67,82,60,63,59,58,49,47,33,7,7,8,11,11,2
B. Yard?mc?,70,70,1,3,99,64,65,39,65,62,77,70,53,72,82,80,84,68,65,49,65,34,19,60,21,22,7,15,13,7,7,2
Y. Ono,70,70,1,3,99,60,68,51,69,61,70,57,59,72,81,83,78,71,71,64,65,28,20,56,18,18,10,8,15,8,6,1
J. Michel,70,70,1,3,99,60,67,65,69,65,70,55,64,70,74,75,76,66,78,67,56,76,58,59,51,46,13,7,11,7,13,1
O. Jansson,70,70,1,2,99,70,43,54,69,42,59,69,65,66,70,67,71,72,92,79,67,74,68,55,71,63,13,8,13,8,13,2
G. Hall,70,70,2,2,99,61,41,51,67,48,65,64,56,67,73,67,77,64,64,59,55,78,71,48,73,75,7,15,8,10,6,3
F. Semb Berge,70,70,1,3,99,65,66,54,69,69,75,72,64,71,71,67,80,71,69,65,69,78,29,67,29,33,6,16,13,13,15,2
Y. Boé-Kane,69,70,1,4,99,60,64,63,61,59,74,64,48,70,89,87,83,68,68,61,62,62,22,58,31,22,7,10,13,8,13,2
M. Herrera,69,70,1,3,99,52,46,42,77,40,63,51,68,71,67,65,69,59,73,66,52,62,70,50,70,64,9,12,13,11,11,2
D. Martínez,70,70,1,3,99,74,65,46,68,54,71,46,62,71,76,75,70,65,71,75,69,79,68,40,66,64,10,16,14,7,15,2
N. Röseler,70,70,1,3,99,68,38,62,63,34,65,64,62,69,74,73,76,59,79,67,50,70,63,49,73,72,11,13,13,8,13,3
B. Meccariello,70,70,1,3,99,68,64,53,70,64,70,71,69,72,57,59,76,67,60,51,64,33,23,62,25,25,15,15,14,11,7,2
N. Marsman,70,70,1,2,99,63,32,66,65,34,58,50,66,62,74,71,68,54,70,73,38,69,69,39,73,65,14,14,16,13,10,3
D. Roßbach,70,70,2,3,99,65,67,65,70,73,72,67,54,71,75,68,77,73,64,64,66,52,23,68,26,23,13,9,7,13,16,1
A. Merkel,70,70,1,2,99,38,40,64,60,26,59,48,61,60,54,58,60,71,69,70,59,89,70,40,70,70,9,6,14,8,15,3
J. Gamonal,70,70,1,2,99,57,72,68,55,66,61,64,32,62,73,67,72,74,68,84,67,85,36,72,38,36,6,16,10,7,10,1
M. Lais,70,70,1,1,99,11,12,11,18,16,14,10,13,21,47,46,34,25,30,57,14,19,13,22,13,12,71,62,59,71,73,4
A. Pizzorno,70,70,1,3,99,70,57,48,66,49,69,79,63,70,72,72,73,85,69,71,75,71,70,48,72,71,11,14,16,15,11,3
T. Blackett,70,70,1,3,99,72,66,53,68,50,71,71,65,70,75,74,72,82,66,64,74,66,48,64,39,49,13,9,13,13,16,2
A. Dej,70,70,1,2,99,52,39,67,67,41,57,40,67,65,54,54,56,59,85,82,53,74,67,46,69,71,7,12,12,11,13,2
A. Stephens,70,70,1,1,99,11,13,12,18,17,20,17,12,16,56,57,52,20,38,70,20,35,25,20,12,11,68,65,70,68,74,4
J. Aja,70,70,1,2,99,29,42,68,57,55,44,39,63,50,42,44,42,64,53,91,27,78,66,38,72,67,13,15,7,12,11,3
A. Saroka,70,70,1,3,99,70,66,68,67,57,66,64,63,64,77,75,76,65,90,72,62,81,64,69,66,64,15,8,6,10,11,2
David Bruno,70,70,1,3,66,59,47,38,72,54,66,62,68,70,63,60,71,56,82,58,58,69,70,53,66,62,9,7,12,8,9,2
A. Ba,70,70,1,2,66,33,40,68,66,30,62,43,67,64,65,67,59,64,76,82,45,71,67,50,69,65,12,10,11,15,16,3
R. Koike,70,70,1,2,66,23,20,73,55,23,40,33,50,62,51,53,56,57,81,75,30,73,69,44,71,68,14,8,8,8,6,3
S. May,68,70,1,3,99,62,72,65,69,60,70,55,57,63,76,72,61,60,82,63,50,54,38,52,33,31,15,12,14,14,9,2
R. McKenzie,70,70,1,3,99,61,68,52,68,51,72,61,57,67,83,89,93,57,74,59,60,45,37,52,36,38,8,14,7,9,11,2
M. Preston,70,70,1,3,99,70,53,62,67,48,63,64,67,67,66,68,67,70,65,69,62,75,73,65,68,65,10,8,7,13,13,2
H. Rivera,69,70,1,3,99,69,66,62,62,63,72,62,60,73,78,78,81,67,73,62,68,34,38,67,48,34,7,6,8,10,8,2
S. Nieuwpoort,70,70,1,3,99,70,63,55,66,61,66,68,64,68,81,93,81,66,71,67,61,69,48,60,38,36,14,16,15,13,13,2
M. López,70,70,1,3,99,62,69,59,63,65,72,64,48,73,84,84,83,71,73,70,63,78,51,45,57,53,8,12,12,10,13,1
N. Yennaris,70,70,1,3,99,65,40,64,63,25,64,58,64,66,75,78,63,55,90,74,42,55,66,45,70,67,15,7,13,12,14,3
S. O'Donnell,70,70,1,3,99,69,51,38,60,25,66,61,63,67,81,79,70,70,80,78,59,66,68,34,70,71,12,9,11,15,6,3
L. Isgrove,68,70,1,3,99,65,65,50,65,52,68,55,54,64,79,86,79,57,70,69,58,83,55,50,54,48,14,13,9,7,9,2
R. Di Gennaro,70,70,1,3,99,57,64,59,64,65,72,64,48,71,75,80,73,71,73,69,67,50,35,67,25,27,6,6,6,11,6,1
Jairo,70,70,2,2,99,58,38,71,67,39,61,44,69,67,67,65,66,65,68,75,47,76,70,50,72,69,12,10,11,12,15,2
W. Dammers,70,70,1,3,99,66,69,67,65,47,70,59,61,73,76,70,73,70,71,78,64,58,46,66,24,22,14,7,10,10,12,1
J. Hopcutt,70,70,1,3,99,76,42,63,70,48,77,63,64,74,79,84,76,60,81,73,42,73,64,56,69,68,14,12,7,6,8,3
U. Segura,70,70,1,2,99,48,39,69,62,50,47,38,53,52,64,54,44,64,60,78,48,65,65,50,69,73,15,14,7,10,7,3
R. Williams,70,70,1,2,99,65,17,70,65,23,55,43,55,63,68,59,57,46,83,81,25,73,70,51,71,71,16,15,13,8,15,3
M. Bukata,70,70,1,2,99,55,41,67,60,25,48,30,64,47,53,49,62,56,75,87,34,78,72,37,69,65,8,16,14,12,16,3
Luís Cortez,70,70,1,3,99,63,65,59,70,58,71,64,66,70,81,79,69,66,80,80,70,71,63,47,63,59,13,14,16,14,16,2
R. Hall,70,70,1,3,99,61,69,60,59,60,70,63,44,68,91,83,86,76,87,64,71,42,12,64,13,13,15,9,8,7,11,2
R. Buess,70,70,1,3,99,65,59,64,70,68,64,60,69,65,65,67,69,78,90,75,69,75,65,59,67,67,8,7,9,14,16,2
M. Moscati,70,70,1,2,66,51,35,72,68,43,54,50,64,63,59,58,39,59,66,82,55,74,73,59,72,67,7,14,7,14,15,2
S. Kroon,70,70,1,2,66,26,35,75,44,29,26,24,53,38,42,44,30,38,52,87,21,85,70,43,67,67,7,6,12,9,8,3
J. Gradit,70,70,1,2,66,28,19,65,67,28,46,28,62,64,49,51,56,43,71,84,21,72,65,43,71,69,15,9,6,13,10,3
F. Ulvestad,70,70,1,3,99,52,64,49,64,48,75,38,59,65,89,89,87,56,80,65,55,58,49,39,41,37,16,10,15,10,9,2
M. Ritzmaier,70,70,1,3,99,59,50,56,68,50,75,64,67,73,71,59,81,53,65,57,56,58,51,63,54,55,11,9,11,8,13,2
H. Shala,70,70,1,3,99,66,66,65,63,65,74,63,67,72,74,72,69,73,49,59,73,52,33,66,24,29,14,14,9,13,14,2
B. V?t?jelu,70,70,1,3,99,70,63,63,73,66,68,67,71,71,57,60,65,74,62,60,70,73,47,72,62,54,13,14,12,12,8,2
D. Agazzi,70,70,1,3,99,67,65,60,69,67,70,63,61,68,78,78,75,73,86,65,71,62,56,59,53,51,9,16,14,15,8,2
A. Tembeng,70,70,1,2,99,25,23,70,61,32,29,38,59,52,50,50,52,40,75,79,33,75,66,30,72,70,9,10,7,7,4,3
Alan Schons,70,70,1,3,99,69,64,70,71,62,71,64,65,73,66,70,68,77,76,70,74,74,70,61,73,68,9,11,7,8,11,2
E. Assifuah,70,70,1,3,99,65,70,77,66,54,75,44,51,77,81,84,76,66,75,68,65,52,39,38,35,36,9,15,16,13,7,2
V. N'Simba,70,70,1,3,99,49,45,55,74,42,63,69,73,71,72,71,76,65,76,72,61,68,65,73,65,62,13,8,13,7,13,2
